Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
зарядное устройство bl1418 aeg 4932464542,58,54,8,4,31695,0.13793103448275862,0.5,0.06896551724137931,1
набор дюймовых ключей,58,56,10,2,7680,0.1206896551724138,0.2,0.034482758620689655,1
набор ключей и головок,58,55,9,2,12255,0.13793103448275862,0.2222222222222222,0.034482758620689655,1
набор ключей с трещоткой и шарниром 8 шт дт/20 дело техники 515480,58,56,23,13,55617,0.3793103448275862,0.5217391304347826,0.20689655172413793,1
эмаль акриловая,58,53,5,2,1116,0.06896551724137931,0.4,0.034482758620689655,1
люверсы металл,58,56,6,4,2535,0.10344827586206896,0.6666666666666666,0.06896551724137931,1
е27,58,57,12,5,11128,0.20689655172413793,0.4166666666666667,0.08620689655172414,1
противопожарное полотно спец пп1000 1,5х2,0 м, до 1000с градусов, стеклоткань огнпп1000,58,58,11,3,6912,0.1896551724137931,0.2727272727272727,0.05172413793103448,1
нейтральный преобразователь ржавчины конферум ифхан58пр 0220/3,58,58,22,13,4092,0.3620689655172414,0.5909090909090909,0.22413793103448276,1
рециркулятор,58,50,9,3,13802,0.13793103448275862,0.3333333333333333,0.05172413793103448,1
aeg аккумулятор,58,54,7,2,25600,0.10344827586206896,0.2857142857142857,0.034482758620689655,1
абразивный отрезной станок stalex com/cutoff machine/400м/3 j3ga400 220в,58,58,3,1,37767,0.05172413793103448,0.3333333333333333,0.017241379310344827,1
пугвнг,58,52,13,3,3170,0.13793103448275862,0.23076923076923078,0.05172413793103448,1
ведра строительные,58,56,31,4,1065,0.3275862068965517,0.12903225806451613,0.06896551724137931,1
промышленные колеса без кронштейнов,58,56,18,2,2320,0.25862068965517243,0.1111111111111111,0.034482758620689655,1
полутерок,58,55,13,4,1814,0.20689655172413793,0.3076923076923077,0.06896551724137931,1
держатель для коронок (32210мм) практика 036094,58,58,10,5,4240,0.15517241379310345,0.5,0.08620689655172414,1
заглушка rvc 3/4 г 00786,58,58,18,5,1314,0.27586206896551724,0.2777777777777778,0.08620689655172414,1
центровка,58,56,2,1,165,0.034482758620689655,0.5,0.017241379310344827,1
эмаль для металла,58,57,25,5,27957,0.29310344827586204,0.2,0.08620689655172414,1
корщётка,58,48,31,7,3997,0.3793103448275862,0.22580645161290322,0.1206896551724138,1
камеры заднего вида для парктроников,58,57,5,3,3276,0.08620689655172414,0.6,0.05172413793103448,1
средство для мытья полов,58,56,25,8,8377,0.3620689655172414,0.28,0.1206896551724138,1
герметик битумный,58,55,27,10,23769,0.41379310344827586,0.37037037037037035,0.1724137931034483,1
биметаллические радиаторы отопления royal thermo pianoforte,58,54,15,1,11700,0.15517241379310345,0.06666666666666667,0.017241379310344827,1
масло stihl,58,57,8,5,17178,0.08620689655172414,0.625,0.08620689655172414,1
дренажный насос patriot f 350 315302626,58,58,13,3,8927,0.1896551724137931,0.23076923076923078,0.05172413793103448,1
метчик м/р м 6 х1 р6м5 туламаш 54701,58,58,13,6,11150,0.1896551724137931,0.46153846153846156,0.10344827586206896,1
6,58,54,7,3,7522,0.1206896551724138,0.42857142857142855,0.05172413793103448,1
инфракрасный пирометр ada tempro 550 а00223,58,53,18,13,30839,0.3103448275862069,0.7222222222222222,0.22413793103448276,1
щетка для улицы,58,56,17,7,14969,0.25862068965517243,0.35294117647058826,0.10344827586206896,1
воронка для масла,58,57,12,4,3429,0.1896551724137931,0.3333333333333333,0.06896551724137931,1
лента упаковочная,58,55,6,2,10400,0.05172413793103448,0.3333333333333333,0.034482758620689655,1
рулетка 30 м,58,51,16,4,2687,0.2413793103448276,0.25,0.06896551724137931,1
аккумуляторная дрельшуруповерт ресанта да142лк 75/14/4,58,56,8,3,22314,0.13793103448275862,0.375,0.05172413793103448,1
тумбы под телевизор,58,55,14,4,29097,0.10344827586206896,0.21428571428571427,0.05172413793103448,1
бензиновый опрыскиватель,58,49,23,6,89399,0.22413793103448276,0.21739130434782608,0.08620689655172414,1
саморезы оконные,58,56,20,10,17616,0.27586206896551724,0.5,0.1724137931034483,1
тарпаулин,57,54,14,4,157968,0.15789473684210525,0.07142857142857142,0.017543859649122806,1
средство для мытья посуды fairy 900 мл, сочный лимон 603749,57,55,29,14,19806,0.49122807017543857,0.4827586206896552,0.24561403508771928,1
вантус,57,55,25,13,4673,0.40350877192982454,0.52,0.22807017543859648,1
газобетон,57,52,2,1,620,0.03508771929824561,0.5,0.017543859649122806,1
полумаска с очками jeta safety air optics 9500l,57,56,13,5,20983,0.21052631578947367,0.38461538461538464,0.08771929824561403,1
16435885,57,55,27,15,19527,0.40350877192982454,0.5555555555555556,0.2631578947368421,1
веник любаша стандарт сорго 3х прошивной 604228,57,55,25,14,15422,0.40350877192982454,0.48,0.21052631578947367,1
редуктор азотный,57,54,18,9,23721,0.2982456140350877,0.4444444444444444,0.14035087719298245,1
лезвие для ножа 18 мм, 10 шт фт 731018,57,56,18,10,5699,0.3157894736842105,0.5555555555555556,0.17543859649122806,1
сантехническая шпилька techkrep м8х100, 2шт  пакет 112234,57,56,10,4,458,0.12280701754385964,0.3,0.05263157894736842,1
многоцелевая смазка lavr lv40, 520 мл ln1453,57,52,21,10,17598,0.3684210526315789,0.47619047619047616,0.17543859649122806,1
квадратные пресс клещи inforce 0.0810 мм2 061910,57,55,15,8,15709,0.24561403508771928,0.5333333333333333,0.14035087719298245,1
подошвы для наливных полов,57,57,14,9,13629,0.24561403508771928,0.6428571428571429,0.15789473684210525,1
шестигранные прессклещи inforce 0,086 мм2 061911,57,55,11,6,14671,0.17543859649122806,0.45454545454545453,0.08771929824561403,1
магнитола,57,55,9,4,24383,0.12280701754385964,0.4444444444444444,0.07017543859649122,1
шпилька 16,57,33,7,3,10337,0.10526315789473684,0.2857142857142857,0.03508771929824561,1
средства индивидуальной защиты органов дыхания,57,55,46,10,14565,0.38596491228070173,0.21739130434782608,0.17543859649122806,1
сетка шлифовальная,57,56,13,5,1538,0.17543859649122806,0.38461538461538464,0.08771929824561403,1
для стекол,57,55,1,1,1720,0.017543859649122806,1,0.017543859649122806,1
станок белмаш могилев 2.4 сдмл2400,57,52,7,4,156427,0.10526315789473684,0.5714285714285714,0.07017543859649122,1
сварочный маркер профессионал белый 0102,57,57,24,15,9761,0.42105263157894735,0.625,0.2631578947368421,1
набор термоусадок,57,56,16,6,2865,0.24561403508771928,0.375,0.10526315789473684,1
клемма заземления кз400а eco esab св000009197,57,57,20,13,52490,0.3157894736842105,0.65,0.22807017543859648,1
дачный туалет,57,52,8,3,2474,0.10526315789473684,0.25,0.03508771929824561,1
набор диэлектрических отверток с пробником энкор 19834,57,55,23,8,20470,0.38596491228070173,0.34782608695652173,0.14035087719298245,1
насос для перекачки,57,55,7,5,4773,0.10526315789473684,0.7142857142857143,0.08771929824561403,1
шланги для профессиональных моек высокого давления,57,57,3,1,6000,0.05263157894736842,0.3333333333333333,0.017543859649122806,1
цепные ключи для масляных фильтров,57,56,10,3,5242,0.17543859649122806,0.3,0.05263157894736842,1
невымываемый антисептик зао "антисептик" хм11 10 л 0000003714,57,56,21,12,31781,0.3157894736842105,0.5714285714285714,0.21052631578947367,1
удочка телескопическая пластиковая для опрыскивателя park 990031,57,57,11,4,774,0.19298245614035087,0.36363636363636365,0.07017543859649122,1
готовая финишная шпаклевка,57,56,20,7,5629,0.2807017543859649,0.3,0.10526315789473684,1
шланг 1",57,56,10,1,3232,0.07017543859649122,0.1,0.017543859649122806,1
брусковый уровень,57,49,5,4,37292,0.08771929824561403,0.2,0.017543859649122806,1
перчатки gross,57,55,13,4,10640,0.14035087719298245,0.23076923076923078,0.05263157894736842,1
тележка для мотоблока,57,54,2,1,20500,0.03508771929824561,0.5,0.017543859649122806,1
автомат 6а,57,50,5,3,894,0.08771929824561403,0.6,0.05263157894736842,1
аэратор скарификатор,57,51,10,3,28635,0.10526315789473684,0.3,0.05263157894736842,1
пвс 2х1,5,57,51,23,4,18151,0.3157894736842105,0.17391304347826086,0.07017543859649122,1
магнитный уровень inforce 1000мм 0611058,57,56,14,10,15480,0.24561403508771928,0.7142857142857143,0.17543859649122806,1
ручные кромкогибы,57,55,6,4,8994,0.08771929824561403,0.6666666666666666,0.07017543859649122,1
струна,57,53,5,3,1942,0.07017543859649122,0.6,0.05263157894736842,1
удлинитель гибкий,57,53,12,4,1307,0.14035087719298245,0.3333333333333333,0.07017543859649122,1
кувалда 2000 грамм с фибергласовой рукояткой gigant slh20,57,54,19,11,23931,0.3333333333333333,0.5789473684210527,0.19298245614035087,1
мотоблок нева мототехника мб23 мультиагроzs (gb270) 4650002230422,57,51,7,1,82915,0.10526315789473684,0.14285714285714285,0.017543859649122806,1
счетчик инкотекс меркурий 201.5 1ф 560а 1 класс точности, 1 тариф 63289,57,54,11,3,4791,0.17543859649122806,0.2727272727272727,0.05263157894736842,1
пускатель ekf basic серии пмл2160дм электромагнитный, 25а, 230в pmls25230basic,56,55,9,5,12610,0.16071428571428573,0.5555555555555556,0.08928571428571429,1
каскетка росомз rz favorit cap 95520,56,55,15,9,39852,0.25,0.4666666666666667,0.125,1
hr 2470,56,56,9,7,181740,0.16071428571428573,0.7777777777777778,0.125,1
горелки,56,53,9,7,13451,0.125,0.6666666666666666,0.10714285714285714,1
ниппель для бескамерных шин сервис ключ, 73415,56,56,19,15,1683,0.32142857142857145,0.7894736842105263,0.26785714285714285,1
дюбели монтажные,56,53,21,3,38937,0.19642857142857142,0.14285714285714285,0.05357142857142857,1
угловая шлифовальная машинка зубр ушм1812541,56,48,3,1,22162,0.05357142857142857,0.3333333333333333,0.017857142857142856,1
ph1,56,54,29,6,4720,0.2857142857142857,0.1724137931034483,0.08928571428571429,1
набор плашек и метчиков резолюкс 32 предмета 20032,56,53,10,6,21531,0.16071428571428573,0.6,0.10714285714285714,1
набор зенкеров,56,53,8,4,13601,0.125,0.5,0.07142857142857142,1
lобразные монтажные профили,56,56,6,4,41280,0.10714285714285714,0.5,0.05357142857142857,1
подшипник 6204,56,52,21,8,29254,0.32142857142857145,0.38095238095238093,0.14285714285714285,1
опора valfex ppr бел. 16 с фиксатором 10160120 1270506,56,56,7,6,4308,0.125,0.7142857142857143,0.08928571428571429,1
салфетка,56,51,6,1,105,0.05357142857142857,0.16666666666666666,0.017857142857142856,1
вилка силовая,56,55,32,7,20199,0.26785714285714285,0.21875,0.125,1
автоматический однополюсный выключатель abb 16а в s201 6ка 2cds251001r1165,56,48,25,16,38276,0.4107142857142857,0.56,0.25,1
клт,56,56,12,4,4114,0.125,0.3333333333333333,0.07142857142857142,1
вкладыш в бочку с прямым дном masterprof 200 л, 100 мкм дс.071328,56,53,4,1,235,0.07142857142857142,0.25,0.017857142857142856,1
пылесос автомобильный,56,53,6,3,10248,0.10714285714285714,0.5,0.05357142857142857,1
адель,56,38,5,1,3788,0.05357142857142857,0.2,0.017857142857142856,1
антирадары,56,51,10,2,20084,0.10714285714285714,0.2,0.03571428571428571,1
шканты,56,54,44,10,2793,0.39285714285714285,0.22727272727272727,0.17857142857142858,1
ведра оцинкованная сталь,56,56,29,7,18684,0.32142857142857145,0.20689655172413793,0.10714285714285714,1
шаровые полипропиленовые краны 20 мм,56,55,43,14,7505,0.5357142857142857,0.32558139534883723,0.25,1
пуансон,56,55,3,1,8102,0.03571428571428571,0.3333333333333333,0.017857142857142856,1
фреза пазовая галтельная,56,48,14,5,3531,0.19642857142857142,0.35714285714285715,0.08928571428571429,1
нейлоновые стяжки fortisflex ксс 4х200 белый 100 штук 49397,56,53,28,15,7997,0.42857142857142855,0.4642857142857143,0.23214285714285715,1
тележка для шланга,56,53,10,2,10157,0.14285714285714285,0.2,0.03571428571428571,1
powermatic,56,41,1,1,1038,0.017857142857142856,1,0.017857142857142856,1
удерживающая система с наплечными и набедренными лямками и стропом из ленты gigant ус 2 аж (россия),56,55,11,3,15774,0.19642857142857142,0.2727272727272727,0.05357142857142857,1
магнит сварочный,56,52,22,4,7444,0.23214285714285715,0.18181818181818182,0.07142857142857142,1
обратный клапан 3/4,56,51,25,12,5300,0.42857142857142855,0.48,0.21428571428571427,1
болт с внутренним шестигранником,56,51,21,6,7211,0.19642857142857142,0.23809523809523808,0.08928571428571429,1
урна с пепельницей,56,50,17,4,11645,0.23214285714285715,0.23529411764705882,0.07142857142857142,1
arlight,56,52,18,3,58134,0.21428571428571427,0.16666666666666666,0.05357142857142857,1
df347dwe,56,51,5,1,23138,0.08928571428571429,0.2,0.017857142857142856,1
santek,56,52,6,1,6608,0.07142857142857142,0.16666666666666666,0.017857142857142856,1
выключатель, 1 клавиша universal аллегро ip54, серый 1279,56,55,16,9,5736,0.2857142857142857,0.5625,0.16071428571428573,1
karcher k 7,56,43,1,1,45990,0.017857142857142856,1,0.017857142857142856,1
луженая гильза гмл 43 квт 41164,56,55,13,7,15641,0.21428571428571427,0.5384615384615384,0.125,1
пенал для электродов,56,53,6,1,5214,0.08928571428571429,0.16666666666666666,0.017857142857142856,1
сантехническая шпилька,56,46,21,2,2575,0.21428571428571427,0.09523809523809523,0.03571428571428571,1
сверла ступенчатые,56,54,7,1,499,0.10714285714285714,0.14285714285714285,0.017857142857142856,1
электрические соковыжималки,56,53,9,2,16277,0.14285714285714285,0.2222222222222222,0.03571428571428571,1
очки для сварки,56,45,12,4,2916,0.16071428571428573,0.3333333333333333,0.07142857142857142,1
саморез клоп,56,54,10,4,7752,0.16071428571428573,0.4,0.07142857142857142,1
молотковая краска в баллончиках,56,54,24,6,4362,0.35714285714285715,0.25,0.10714285714285714,1
кабель и провод кгхл (кгтпхл),56,54,15,7,44202,0.14285714285714285,0.4,0.10714285714285714,1
клемма wago 222413 5 шт. 2551,56,54,12,6,3877,0.21428571428571427,0.5,0.10714285714285714,1
опоры,56,55,1,1,24,0.017857142857142856,1,0.017857142857142856,1
компресоры,56,51,14,2,30763,0.125,0.14285714285714285,0.03571428571428571,1
защитный щитки на каску,55,53,16,4,66278,0.23636363636363636,0.25,0.07272727272727272,1
деревянные щеткисметки (с деревянной ручкой),55,55,24,7,14461,0.32727272727272727,0.2916666666666667,0.12727272727272726,1
эмаль термостойкая kudo черная ku5002,55,52,29,16,15768,0.34545454545454546,0.4827586206896552,0.2545454545454545,1
труба для теплого пола,55,53,1,1,7722,0.01818181818181818,1,0.01818181818181818,1
подшипник 6001,55,47,19,8,3000,0.2727272727272727,0.3684210526315789,0.12727272727272726,1
шланг напорно всасывающий,55,48,11,2,3982,0.14545454545454545,0.18181818181818182,0.03636363636363636,1
аккумулятор bl1016 (12 в, 1.5 ач, liion) makita 1973935,55,55,13,5,19780,0.21818181818181817,0.38461538461538464,0.09090909090909091,1
электрические бетонорезы,55,49,6,3,170715,0.09090909090909091,0.5,0.05454545454545454,1
20217268,55,52,9,4,66001,0.14545454545454545,0.4444444444444444,0.07272727272727272,1
колодка для удлинителя,55,53,36,12,11637,0.3090909090909091,0.3055555555555556,0.2,1
набор алмазных надфилей 10 шт. matrix 15832,55,53,13,7,34297,0.2,0.5384615384615384,0.12727272727272726,1
20518594,55,50,7,4,44590,0.10909090909090909,0.5714285714285714,0.07272727272727272,1
круг отрезной по металлу (125х0,8х22,2 мм) россия 73641,55,48,26,12,55223,0.43636363636363634,0.46153846153846156,0.21818181818181817,1
фонари и фонарики элементы питания 18650,55,53,2,4,7975,0.03636363636363636,2,0.07272727272727272,1
шплинты для мотобуров,55,54,10,6,5334,0.12727272727272726,0.6,0.10909090909090909,1
саморезы gigant 3,5x16, потайная головка, крупный шаг, оксидированный, 1 кг. 123524,55,55,18,3,3155,0.21818181818181817,0.1111111111111111,0.03636363636363636,1
ведро 5л,55,51,19,2,244,0.32727272727272727,0.10526315789473684,0.03636363636363636,1
набор ступенчатых сверл,55,55,12,3,9583,0.16363636363636364,0.25,0.05454545454545454,1
сверло по металлу hssco (6x93x57 мм) inforce 1101434,55,52,22,11,30933,0.36363636363636365,0.5,0.2,1
ломгвоздодер,55,51,22,7,7938,0.3090909090909091,0.3181818181818182,0.12727272727272726,1
прямошлифовальная машина makita gd 0602,55,52,8,6,70313,0.14545454545454545,0.75,0.10909090909090909,1
сумка для инструмента с ремнем 500x230x300 мм dr. iron dr1027,55,52,22,10,42669,0.34545454545454546,0.45454545454545453,0.18181818181818182,1
steher,55,52,4,1,16360,0.05454545454545454,0.25,0.01818181818181818,1
кухонная мойка,55,54,22,5,16522,0.21818181818181817,0.22727272727272727,0.09090909090909091,1
краска kudo,55,53,21,4,11505,0.18181818181818182,0.19047619047619047,0.07272727272727272,1
электрический триммер huter get1500sl 70/1/6,55,54,4,2,15707,0.07272727272727272,0.5,0.03636363636363636,1
разъемы banana,55,53,26,4,2529,0.2727272727272727,0.15384615384615385,0.07272727272727272,1
набор головок торцевых,55,54,6,2,6598,0.09090909090909091,0.3333333333333333,0.03636363636363636,1
брашировальная машина patriot bs 909 110301510,55,53,10,5,51388,0.16363636363636364,0.5,0.09090909090909091,1
клемма проходная,55,54,13,3,1817,0.2,0.23076923076923078,0.05454545454545454,1
электрический рубанок,55,53,21,1,4176,0.16363636363636364,0.047619047619047616,0.01818181818181818,1
направляющая шина зубр ппш150 1500 мм 323321.5,55,53,5,2,16448,0.07272727272727272,0.4,0.03636363636363636,1
грабли fiskars,55,52,6,2,5494,0.10909090909090909,0.3333333333333333,0.03636363636363636,1
садовая лейка сибртех 10л, с горловиной, пластмассовая россия 67521,55,55,29,14,10545,0.43636363636363634,0.41379310344827586,0.21818181818181817,1
колеса для офисного кресла элимет 5 шт бп00001695,55,54,10,6,10047,0.12727272727272726,0.5,0.09090909090909091,1
антенный кабель,55,54,17,3,781,0.2,0.17647058823529413,0.05454545454545454,1
фреза отрезная,55,52,4,1,2690,0.07272727272727272,0.25,0.01818181818181818,1
пикалопатка п41 tor 208411,55,54,6,2,3984,0.10909090909090909,0.3333333333333333,0.03636363636363636,1
краски для osb (осб),55,55,19,6,15017,0.2,0.2631578947368421,0.09090909090909091,1
набор сверл по металлу 25 шт. (d 113 мм) hssr metabo 627152000,55,53,20,12,78460,0.34545454545454546,0.6,0.21818181818181817,1
влагозащищенные светильники,55,55,16,6,10704,0.2545454545454545,0.375,0.10909090909090909,1
насадка для полива,55,52,14,7,6498,0.2,0.5,0.12727272727272726,1
перфорированная динрейка 2м dkc omega 3f, 35x7,5мм. 02140,55,51,25,13,138569,0.4,0.52,0.23636363636363636,1
мотокультиватор huter gmc6.5 70/5/6,54,51,1,1,30390,0.018518518518518517,1,0.018518518518518517,1
трубки тутнг,54,53,40,8,29243,0.37037037037037035,0.2,0.14814814814814814,1
коврики для пайки,54,54,13,6,3940,0.2222222222222222,0.46153846153846156,0.1111111111111111,1
хамут,54,54,40,8,2760,0.3333333333333333,0.175,0.12962962962962962,1
насадкапила цепная на ушм росомаха 900000,54,52,7,3,4362,0.09259259259259259,0.42857142857142855,0.05555555555555555,1
химический анкер на полиэстерной основе akfix c900 300 мл ca032,54,54,5,1,12345,0.09259259259259259,0.2,0.018518518518518517,1
яндекс станция,54,53,3,2,22081,0.05555555555555555,0.6666666666666666,0.037037037037037035,1
ключи и отвертки для золотника,54,52,32,14,3077,0.4444444444444444,0.40625,0.24074074074074073,1
стяжки кабельные,54,54,69,18,41403,0.48148148148148145,0.17391304347826086,0.2222222222222222,1
счетчик моточасов,54,50,1,1,4150,0.018518518518518517,1,0.018518518518518517,1
прозрачный герметик,54,54,34,11,38302,0.4074074074074074,0.3235294117647059,0.2037037037037037,1
держатель метчика,54,50,18,5,2818,0.25925925925925924,0.2777777777777778,0.09259259259259259,1
нарукавники спилковые,54,51,21,6,22608,0.3333333333333333,0.2857142857142857,0.1111111111111111,1
динамическая стропа буксировочный трос,54,53,8,2,4665,0.1111111111111111,0.25,0.037037037037037035,1
аккумуляторная дрельшуруповерт bosch easydrill 18v40 06039d8005,54,48,8,3,34108,0.14814814814814814,0.375,0.05555555555555555,1
лейкопластырь,54,54,23,15,9215,0.3148148148148148,0.5652173913043478,0.24074074074074073,1
изолента safeline 19/20 белый 9369,54,53,17,13,7305,0.3148148148148148,0.7647058823529411,0.24074074074074073,1
аэрозольная краска в баллончике kudo быстросохнущая акриловая универсальная глянцевая ral 9005 чёрная kua9005,54,54,15,9,8364,0.25925925925925924,0.5333333333333333,0.14814814814814814,1
защитные наколенники matrix 89410,54,54,16,8,11604,0.2962962962962963,0.5,0.14814814814814814,1
гибридный клейгерметик soudal фикс алл flexi белый 117383,54,51,19,17,78117,0.2962962962962963,0.7368421052631579,0.25925925925925924,1
иглы для мячей,54,52,20,11,1426,0.3333333333333333,0.55,0.2037037037037037,1
скотч 3m,54,54,11,6,3310,0.18518518518518517,0.5454545454545454,0.1111111111111111,1
аккумулятор 12в, 2а*ч для дрелишуруповерта dkcd12fuli deko 0634090,54,40,4,4,3502,0.07407407407407407,1,0.07407407407407407,1
горох,54,46,66,11,710,0.5185185185185185,0.16666666666666666,0.2037037037037037,1
механизм розетки systeme electric 1м сп atlas design с заземлением 16а белый atn000143,54,53,28,11,41008,0.35185185185185186,0.35714285714285715,0.18518518518518517,1
выключатель автоматический,54,50,28,4,6981,0.24074074074074073,0.14285714285714285,0.07407407407407407,1
econova,54,51,20,7,7890,0.25925925925925924,0.35,0.12962962962962962,1
мотоблок ока,54,51,2,3,88008,0.018518518518518517,0.5,0.018518518518518517,1
очиститель двигателя grass motor cleaner 1 л 116100,54,54,14,7,7375,0.25925925925925924,0.5,0.12962962962962962,1
ключ газовый №1,54,49,15,6,9569,0.25925925925925924,0.3333333333333333,0.09259259259259259,1
гидравлический ручной пресс квт пгрс120 57605,54,50,9,7,51603,0.16666666666666666,0.7777777777777778,0.12962962962962962,1
подсачеки и садки,54,51,4,2,3454,0.07407407407407407,0.5,0.037037037037037035,1
крестики,54,53,26,7,3899,0.3148148148148148,0.23076923076923078,0.1111111111111111,1
анаэробный герметик irfix screwfix 1543 250 мл 20080,54,54,20,13,30492,0.35185185185185186,0.65,0.24074074074074073,1
головки для гайковерта,54,53,15,3,4139,0.14814814814814814,0.2,0.05555555555555555,1
для полировки,54,53,3,1,501,0.05555555555555555,0.3333333333333333,0.018518518518518517,1
511220,54,49,9,4,24057,0.16666666666666666,0.4444444444444444,0.07407407407407407,1
грунтовка kudo "грунт акриловый универсальный быстросохнущий" в баллончике, чёрный ku2103,54,54,26,14,9193,0.4444444444444444,0.5384615384615384,0.25925925925925924,1
кондуктор для шкантов зубр 3 отверстия 30083,54,53,9,5,4654,0.16666666666666666,0.5555555555555556,0.09259259259259259,1
прививочная лента,54,42,18,8,1298,0.2777777777777778,0.3888888888888889,0.12962962962962962,1
держатель метчиков,54,51,23,7,7009,0.24074074074074073,0.30434782608695654,0.12962962962962962,1
ушс,54,45,9,2,4491,0.14814814814814814,0.2222222222222222,0.037037037037037035,1
дизельные однофазные генераторы 220 в ,54,53,6,1,130710,0.1111111111111111,0.16666666666666666,0.018518518518518517,1
аккумуляторный бесщеточный секатор ryobi one+ ry18scxa0 5133005025,54,53,5,3,52701,0.09259259259259259,0.6,0.05555555555555555,1
аккумуляторная коса makita lxt bl 2х18 в dur368az,54,53,8,1,25490,0.14814814814814814,0.125,0.018518518518518517,1
бита pz3,54,54,25,11,6539,0.3888888888888889,0.44,0.2037037037037037,1
тележка уборочная,54,53,15,5,47844,0.2777777777777778,0.3333333333333333,0.09259259259259259,1
бутыльраспылитель для обезжиривателя и антисиликона русский мастер 1 л рм381935,54,53,20,11,16650,0.35185185185185186,0.45,0.16666666666666666,1
энергосберегающие лампы е14,54,54,8,4,753,0.12962962962962962,0.5,0.07407407407407407,1
16422750,54,51,20,13,28206,0.3333333333333333,0.65,0.24074074074074073,1
бокорезы диэлектрические,53,52,16,1,3610,0.2641509433962264,0.0625,0.018867924528301886,1
классические усиленные грабли кэс 420х1200 мм, 14 витых зубьев, деревянный черенок 21010079,53,51,11,8,10448,0.16981132075471697,0.5454545454545454,0.11320754716981132,1
электрический культиватор patriot elektra 1000 460302116,53,52,5,2,19909,0.07547169811320754,0.4,0.03773584905660377,1
масла genesis (генезис),53,53,14,7,18117,0.22641509433962265,0.5,0.1320754716981132,1
винт м6х20,53,52,28,9,4610,0.39622641509433965,0.2857142857142857,0.1509433962264151,1
кронштейн для полки,53,52,21,6,3012,0.22641509433962265,0.2857142857142857,0.11320754716981132,1
мебельные винты с полукруглой головкой,53,53,13,3,336,0.18867924528301888,0.23076923076923078,0.05660377358490566,1
посадочные конусы,53,51,12,4,3805,0.20754716981132076,0.3333333333333333,0.07547169811320754,1
тряпка для мытья пола лайма стандарт, 80х100 см, плотность 190 г/м2, хпп, 100% хлопок 600837,53,52,28,11,4751,0.4716981132075472,0.35714285714285715,0.18867924528301888,1
тример электрический,53,52,9,2,17244,0.11320754716981132,0.2222222222222222,0.03773584905660377,1
lavita,53,51,21,2,33830,0.18867924528301888,0.09523809523809523,0.03773584905660377,1
lukoil,53,50,7,3,5305,0.09433962264150944,0.42857142857142855,0.05660377358490566,1
энергосберегающие лампы (эсл),53,51,5,3,576,0.09433962264150944,0.6,0.05660377358490566,1
саперная лопата,53,50,18,6,6081,0.20754716981132076,0.2777777777777778,0.09433962264150944,1
черные эмали по ржавчине,53,53,41,8,17590,0.5660377358490566,0.1951219512195122,0.1509433962264151,1
ящик для инструментов на колесах,53,45,4,1,10180,0.07547169811320754,0.25,0.018867924528301886,1
столовые приборы,53,50,12,4,12884,0.1509433962264151,0.3333333333333333,0.07547169811320754,1
ключ и брелоки от домофонов,53,46,20,6,2239,0.2830188679245283,0.3,0.11320754716981132,1
громкоговоритель,53,49,5,2,12588,0.09433962264150944,0.4,0.03773584905660377,1
защита от насекомых и вредителей,53,53,31,7,2963,0.24528301886792453,0.22580645161290322,0.1320754716981132,1
аккумулятор 12в,53,51,6,2,10160,0.07547169811320754,0.3333333333333333,0.03773584905660377,1
переходник 3/8,53,53,8,2,529,0.11320754716981132,0.25,0.03773584905660377,1
горелка mig/mag 15ак 5 м еа евро рукав профессионал 000173,53,52,15,2,10455,0.18867924528301888,0.13333333333333333,0.03773584905660377,1
корзина для мусора martika "феста" 11л с722,53,52,16,9,3883,0.2830188679245283,0.5625,0.16981132075471697,1
стакан одноразовый,53,47,10,4,14357,0.18867924528301888,0.4,0.07547169811320754,1
intex,53,47,17,2,10911,0.18867924528301888,0.11764705882352941,0.03773584905660377,1
гибкие магниты,53,51,31,14,10186,0.33962264150943394,0.3870967741935484,0.22641509433962265,1
хлор,53,50,5,4,2573,0.09433962264150944,0.8,0.07547169811320754,1
портативный мультиметр unit ut33a+ 130055 0000001500,53,51,11,6,8975,0.20754716981132076,0.5454545454545454,0.11320754716981132,1
ручной гидравлический трубогиб gigant 16т. mhpj16,53,53,11,8,204034,0.18867924528301888,0.6363636363636364,0.1320754716981132,1
втулка резиновая,53,50,4,3,6645,0.05660377358490566,0.75,0.05660377358490566,1
кольцевой наконечник,53,53,35,10,12543,0.33962264150943394,0.2857142857142857,0.18867924528301888,1
аксессуары для досок,53,53,52,11,19775,0.33962264150943394,0.17307692307692307,0.16981132075471697,1
удлинитель 1/2"х250 мм дт/50 дело техники 629025,53,51,21,13,7300,0.37735849056603776,0.5714285714285714,0.22641509433962265,1
диск по металу,53,50,20,5,10971,0.22641509433962265,0.2,0.07547169811320754,1
оснастка для полировальных шлифмашин,53,53,22,3,3683,0.1320754716981132,0.13636363636363635,0.05660377358490566,1
отверткапробник iek оп2э иэк tpr20,53,52,21,14,6956,0.3584905660377358,0.6190476190476191,0.24528301886792453,1
плед,53,49,3,3,18772,0.05660377358490566,1,0.05660377358490566,1
rioby,53,53,25,2,102626,0.18867924528301888,0.08,0.03773584905660377,1
