Запрос,Кол-во сессий с поиском,Кол-во пользователей поиска,Сесиий с добавлением,Кол-во заказов с поиска,GMV поиска,CR в добавление,Доля переходов в заказ,CR с поиска в заказ,Тип пользователя
knipex,1118,1007,166,2,8640,0.05366726296958855,0.012048192771084338,0.0017889087656529517,0
wd-40,1117,1064,32,1,696,0.02685765443151298,0.03125,0.0008952551477170994,0
тачка,1110,1080,116,1,2510,0.07657657657657657,0.008620689655172414,0.0009009009009009009,0
макита,1105,1054,156,3,48666,0.06334841628959276,0.019230769230769232,0.0027149321266968325,0
армированные шланги,1084,1046,196,7,18672,0.11808118081180811,0.03571428571428571,0.006457564575645757,0
тележка,1081,1028,71,3,8760,0.04625346901017576,0.04225352112676056,0.0027752081406105457,0
шайбы,1074,1012,223,6,1227,0.10800744878957169,0.026905829596412557,0.00558659217877095,0
строительные и мебельные степлеры,1071,1035,122,2,1144,0.07749766573295985,0.01639344262295082,0.0018674136321195146,0
трубы пнд,1065,1022,181,6,7154,0.12488262910798122,0.03314917127071823,0.005633802816901409,0
насадки для болгарок (ушм),1056,1029,84,4,3014,0.04071969696969697,0.03571428571428571,0.002840909090909091,0
дюбели,1041,984,190,8,10935,0.11911623439000961,0.03684210526315789,0.0067243035542747355,0
наборы сверл,1039,990,271,6,6920,0.12993262752646775,0.02214022140221402,0.005774783445620789,0
лопата,1034,993,191,4,3752,0.10058027079303675,0.020942408376963352,0.0038684719535783366,0
лепестковые шлифовальные круги и диски,1002,965,208,14,5604,0.1217564870259481,0.057692307692307696,0.011976047904191617,0
манометры,1001,957,40,2,711,0.028971028971028972,0.05,0.001998001998001998,0
трубы водопроводные,993,950,168,4,5841,0.0986908358509567,0.023809523809523808,0.004028197381671702,0
алюминиевые стремянки,984,947,163,4,11840,0.10670731707317073,0.024539877300613498,0.0040650406504065045,0
сабельная пила,980,866,108,4,23365,0.0663265306122449,0.037037037037037035,0.004081632653061225,0
отвертка,968,928,216,4,1150,0.10020661157024793,0.018518518518518517,0.004132231404958678,0
мешки для строительного мусора,966,880,207,6,15524,0.15942028985507245,0.028985507246376812,0.006211180124223602,0
распределительные коробки,964,925,227,4,1468,0.15352697095435686,0.01762114537444934,0.004149377593360996,0
дрели-миксеры,962,881,141,8,34329,0.08212058212058213,0.05673758865248227,0.008316008316008316,0
аккумуляторные сабельные пилы,952,888,115,5,26381,0.0703781512605042,0.043478260869565216,0.005252100840336135,0
счетчики воды,936,851,155,11,15642,0.1111111111111111,0.07096774193548387,0.011752136752136752,0
маска сварщика,934,867,126,5,17112,0.10599571734475374,0.03968253968253968,0.0053533190578158455,0
радиаторы отопления,927,865,170,7,56903,0.07982740021574973,0.041176470588235294,0.007551240560949299,0
графитовые щетки (угольные) для электроинструмента,925,798,85,24,6013,0.05405405405405406,0.25882352941176473,0.023783783783783784,0
налобные фонари,909,883,170,10,11153,0.11771177117711772,0.052941176470588235,0.009900990099009901,0
циркулярная пила,905,851,91,2,15682,0.05856353591160221,0.02197802197802198,0.0022099447513812156,0
гофрированные трубы для кабеля гибкие,900,865,178,4,1752,0.14555555555555555,0.02247191011235955,0.0044444444444444444,0
плиткорезы,899,848,87,1,6926,0.048943270300333706,0.011494252873563218,0.0011123470522803114,0
светильники,891,863,129,3,2936,0.0819304152637486,0.023255813953488372,0.003367003367003367,0
фитинги для труб,891,857,207,10,3191,0.09090909090909091,0.03864734299516908,0.008978675645342313,0
газонокосилка,886,832,73,2,47780,0.0654627539503386,0.0273972602739726,0.002257336343115124,0
экстракторы и шпильковерты,877,841,99,13,6934,0.08437856328392246,0.12121212121212122,0.013683010262257697,0
сучкорез,874,832,36,2,6974,0.03318077803203661,0.05555555555555555,0.002288329519450801,0
силиконовая смазка,863,820,159,3,869,0.13673232908458866,0.018867924528301886,0.0034762456546929316,0
наборы шестигранных ключей,863,831,201,7,1760,0.14484356894553882,0.029850746268656716,0.006952491309385863,0
кровельные саморезы,860,814,161,13,7138,0.12209302325581395,0.07453416149068323,0.013953488372093023,0
вибраторы для бетона,854,794,98,8,31172,0.07142857142857142,0.08163265306122448,0.00936768149882904,0
fiskars,821,787,198,5,18148,0.09866017052375152,0.025252525252525252,0.0060901339829476245,0
лакокрасочные материалы,811,786,170,3,1526,0.11097410604192355,0.01764705882352941,0.0036991368680641184,0
мультитулы,804,761,57,3,14931,0.048507462686567165,0.05263157894736842,0.0037313432835820895,0
плашки для нарезания резьбы,803,764,132,10,1814,0.0921544209215442,0.07575757575757576,0.012453300124533,0
gigant,800,695,602,2,26314,0.09375,0.0033222591362126247,0.0025,0
гибкие подводки,799,762,167,11,4355,0.12390488110137672,0.0658682634730539,0.01376720901126408,0
виброплита,765,733,89,2,86316,0.06928104575163399,0.02247191011235955,0.00261437908496732,0
штангенциркуль,761,726,87,2,3774,0.07752956636005257,0.022988505747126436,0.002628120893561104,0
антифриз,761,680,96,10,8407,0.09461235216819974,0.10416666666666667,0.013140604467805518,0
фекальные насосы (фекальники),759,704,93,2,6396,0.06851119894598155,0.021505376344086023,0.002635046113306983,0
съемники подшипников,748,721,116,9,6853,0.09893048128342247,0.06896551724137931,0.0106951871657754,0
аккумуляторные воздуходувки,745,698,76,4,22508,0.07651006711409396,0.039473684210526314,0.004026845637583893,0
канистры для бензина,742,717,110,3,5903,0.10242587601078167,0.02727272727272727,0.004043126684636119,0
полипропиленовые фитинги для пластиковых труб,740,680,520,20,6067,0.20270270270270271,0.03461538461538462,0.024324324324324326,0
краги сварщика,740,706,154,5,2144,0.16486486486486487,0.032467532467532464,0.006756756756756757,0
крепеж,739,719,227,3,536,0.07307171853856563,0.013215859030837005,0.0040595399188092015,0
вентиляторы,734,684,106,6,8279,0.0885558583106267,0.04716981132075472,0.006811989100817439,0
колеса с опорой,733,713,181,6,3464,0.12414733969986358,0.027624309392265192,0.0068212824010914054,0
дистиллированная вода,732,681,138,22,6659,0.16530054644808742,0.15942028985507245,0.030054644808743168,0
автомобильные масла и смазки,728,701,131,5,5529,0.11813186813186813,0.03816793893129771,0.006868131868131868,0
сверло по металлу,727,655,257,4,1200,0.10178817056396149,0.01556420233463035,0.005502063273727648,0
уайт-спирит,724,672,184,9,2112,0.19060773480662985,0.04891304347826087,0.012430939226519336,0
смеситель,722,705,132,8,255372,0.10526315789473684,0.06060606060606061,0.0110803324099723,0
перфоратор aeg kh24ie 4935451555,718,633,32,1,9980,0.04178272980501393,0.03125,0.001392757660167131,0
gross,711,666,273,3,5745,0.12376933895921238,0.01098901098901099,0.004219409282700422,0
шлифовальная бумага (шлифлист) для шлифмашин,710,681,273,8,1187,0.13380281690140844,0.02564102564102564,0.009859154929577466,0
тример,709,659,77,3,16354,0.05782792665726375,0.03896103896103896,0.004231311706629055,0
шнеки для мотобуров и бензобуров,708,673,131,4,9992,0.09887005649717515,0.030534351145038167,0.005649717514124294,0
щетки металлические, стальные, проволочные,699,682,198,3,995,0.18454935622317598,0.015151515151515152,0.004291845493562232,0
тележки инструментальные,697,654,70,1,25999,0.06456241032998565,0.014285714285714285,0.0014347202295552368,0
метлы,691,668,164,1,264,0.14616497829232997,0.006097560975609756,0.001447178002894356,0
аэраторы,684,648,74,6,93478,0.06871345029239766,0.08108108108108109,0.008771929824561403,0
вытяжные заклепки (тяговые),683,642,182,5,2159,0.13177159590043924,0.027472527472527472,0.007320644216691069,0
круги для эксцентриковых шлифмашин,683,649,286,7,19789,0.15666178623718888,0.024475524475524476,0.010248901903367497,0
