Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
пенофол 2000;19;14;5;0;-;0.21052631578947367;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
alpenbox;19;14;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
maxcut;19;19;1;0;-;0.05263157894736842;0;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
15595470;19;19;6;1;2496;0.2631578947368421;0.16666666666666666;0.05263157894736842;8;;;;;;;;;;;;;;;;;;;;;;;;;;
леруа;19;19;0;1;2700;0;-;0.05263157894736842;5;;;;;;;;;;;;;;;;;;;;;;;;;;
чистящий порошок;19;19;5;3;2290;0.2631578947368421;0.6;0.15789473684210525;16;;;;;;;;;;;;;;;;;;;;;;;;;;
шина для цепной пилы daewoo dacs 8;19;18;0;0;-;0;-;0;34;;;;;;;;;;;;;;;;;;;;;;;;;;
"автоdело ""удлинитель для воротка 1/2 с резиновой ручкой 290мм"" 16777";19;17;0;0;-;0;-;0;68;;;;;;;;;;;;;;;;;;;;;;;;;;
стекло сварщика;19;17;7;0;-;0.3684210526315789;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
dhr242rt;19;18;2;0;-;0.10526315789473684;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
пилы для сабельной пилы;19;19;2;3;16649;0.10526315789473684;01.май;0.15789473684210525;23;;;;;;;;;;;;;;;;;;;;;;;;;;
вибратор красный маяк ив-98б 380 в 045-0091;19;19;4;3;137811;0.21052631578947367;0.75;0.15789473684210525;43;;;;;;;;;;;;;;;;;;;;;;;;;;
стиз герметик;19;19;0;0;-;0;-;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
пресс-клещи для обжима kendo 11707;19;19;0;0;-;0;-;0;34;;;;;;;;;;;;;;;;;;;;;;;;;;
лазерный уровень ada cube 3-360 green professional edition а00573;19;18;4;2;93088;0.21052631578947367;0.5;0.10526315789473684;65;;;;;;;;;;;;;;;;;;;;;;;;;;
cкоба каленая (1000 шт;;;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;;;
ryobi лобзик;19;19;2;0;-;0.10526315789473684;0;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
газовая плита с электрической духовкой maunfeld mgc60ecw05;19;18;0;0;-;0;-;0;58;;;;;;;;;;;;;;;;;;;;;;;;;;
экоснайпер;19;18;8;2;23986;0.3157894736842105;0.25;0.10526315789473684;10;;;;;;;;;;;;;;;;;;;;;;;;;;
мойка высокого давления с асинхронным двигателем daewoo daw 725;19;18;4;0;-;0.21052631578947367;0;0;63;;;;;;;;;;;;;;;;;;;;;;;;;;
бензопила maxcut mc 146 22100146;19;19;3;2;9311;0.15789473684210525;0.6666666666666666;0.10526315789473684;32;;;;;;;;;;;;;;;;;;;;;;;;;;
монтажные пилы;19;17;2;0;-;0.10526315789473684;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
рабочий фонарь gigant rsl-500;19;18;1;0;-;0.05263157894736842;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
psr18-d3;19;14;0;0;-;0;-;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
прижимной угольник;19;19;2;2;874;0.10526315789473684;1;0.10526315789473684;18;;;;;;;;;;;;;;;;;;;;;;;;;;
плиткарез;19;19;1;0;-;0.05263157894736842;0;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
крипер;19;19;0;0;-;0;-;0;6;;;;;;;;;;;;;;;;;;;;;;;;;;
фиксатор магнитный;19;19;2;1;269;0.10526315789473684;0.5;0.05263157894736842;18;;;;;;;;;;;;;;;;;;;;;;;;;;
генератор тумана;19;19;1;0;-;0.05263157894736842;0;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
переходник 3/4 на 1;19;18;4;1;832;0.15789473684210525;0.25;0.05263157894736842;19;;;;;;;;;;;;;;;;;;;;;;;;;;
бензорез champion 3.5 квт, 74 куб. см, 10.1 кг, без диска, d 350 мм, d 20/25.4 cp350;19;18;3;1;64600;0.10526315789473684;0.3333333333333333;0.05263157894736842;84;;;;;;;;;;;;;;;;;;;;;;;;;;
штангенциркуль zenion шц-i-150-0.05 шц00001;19;18;2;0;-;0.05263157894736842;0;0;43;;;;;;;;;;;;;;;;;;;;;;;;;;
rfybcnhf;19;19;12;2;1639;0.3684210526315789;0.16666666666666666;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
самоконтрящаяся гайка din 985 оцинкованная м8, 100шт - коробка tech-krep 105254;19;19;5;2;761;0.2631578947368421;0.4;0.10526315789473684;79;;;;;;;;;;;;;;;;;;;;;;;;;;
скакалка;19;18;3;3;4075;0.15789473684210525;1;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
15941488;19;19;6;3;8501;0.2631578947368421;0.5;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
круг лепестковый торцевой конический клт2 (125х22 мм;;;;;;;;;52;;;;;;;;;;;;;;;;;;;;;;;;;;
16076624;19;19;1;0;-;0.05263157894736842;0;0;8;;;;;;;;;;;;;;;;;;;;;;;;;;
кирка каменщика;19;18;6;1;2224;0.3157894736842105;0.16666666666666666;0.05263157894736842;15;;;;;;;;;;;;;;;;;;;;;;;;;;
набор из 6 кистей с деревянными ручками: флейцевые кисти 20, 25, 35мм, круглые кисти 20, 25мм, кисть художественная мaster color 30-0510;19;19;6;5;2604;0.3157894736842105;0.8333333333333334;0.2631578947368421;136;;;;;;;;;;;;;;;;;;;;;;;;;;
котлы baxi серии slim;19;18;2;0;-;0.10526315789473684;0;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
розетка 32 а;19;15;5;2;678;0.21052631578947367;0.4;0.10526315789473684;12;;;;;;;;;;;;;;;;;;;;;;;;;;
масло для двухтактных;19;19;4;2;525;0.21052631578947367;0.5;0.10526315789473684;21;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор для краскопульта;19;17;1;0;-;0.05263157894736842;0;0;27;;;;;;;;;;;;;;;;;;;;;;;;;;
плоская оцинкованная шайба tech-krep din125а м8 25шт - пакет 103045;19;19;3;0;-;0.15789473684210525;0;0;67;;;;;;;;;;;;;;;;;;;;;;;;;;
"трубка промрукав тв-40 пвх 7 мм ""кембрик"" pr08.2565";19;19;0;0;-;0;-;0;51;;;;;;;;;;;;;;;;;;;;;;;;;;
цепная пила razaian;19;2;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
пила цепная аккумуляторная бесщеточная deko dkchs 20, 12, 20в, 2x4.0ач, з/у 085-2000;19;19;0;0;-;0;-;0;84;;;;;;;;;;;;;;;;;;;;;;;;;;
стык пилотпро 163 1.8 м 01644;19;18;4;3;2761;0.21052631578947367;0.75;0.15789473684210525;29;;;;;;;;;;;;;;;;;;;;;;;;;;
масло для лодочных моторов outboard tech 2t 1 л motul 102789;19;19;8;6;14702;0.42105263157894735;0.75;0.3157894736842105;60;;;;;;;;;;;;;;;;;;;;;;;;;;
термоусадочная клеевая трубка квт ттк(4:1)-4/1 59672;19;18;5;3;959;0.2631578947368421;0.6;0.15789473684210525;52;;;;;;;;;;;;;;;;;;;;;;;;;;
инверторный сварочный полуавтомат aurora pro overman 180 mosfet 10041;19;18;8;2;75664;0.2631578947368421;0.25;0.10526315789473684;69;;;;;;;;;;;;;;;;;;;;;;;;;;
ветошь хб;19;18;12;5;20562;0.42105263157894735;0.4166666666666667;0.2631578947368421;9;;;;;;;;;;;;;;;;;;;;;;;;;;
"набор сантехкреп ""сантехпаста"" 20 гр. + лен 14 гр 2.2.4.";19;19;8;5;860;0.42105263157894735;0.625;0.2631578947368421;56;;;;;;;;;;;;;;;;;;;;;;;;;;
уровень цифровой;19;19;3;1;3990;0.10526315789473684;0.3333333333333333;0.05263157894736842;16;;;;;;;;;;;;;;;;;;;;;;;;;;
"бородок-добойник ""master"" (2.4 мм) stayer 21430-2.4";19;19;3;4;1298;0.15789473684210525;1.3333333333333333;0.21052631578947367;51;;;;;;;;;;;;;;;;;;;;;;;;;;
м22;19;16;2;2;708;0.10526315789473684;1;0.10526315789473684;3;;;;;;;;;;;;;;;;;;;;;;;;;;
"ремонтный хомут дтрд оцинк. краб 1"" ду 25, дн 32-35, шир.70 17003";19;19;8;6;14618;0.42105263157894735;0.75;0.3157894736842105;65;;;;;;;;;;;;;;;;;;;;;;;;;;
клеймы;19;18;11;3;4156;0.3684210526315789;0.2727272727272727;0.15789473684210525;6;;;;;;;;;;;;;;;;;;;;;;;;;;
rubin;19;19;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
st;19;19;0;0;-;0;-;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;
электрод сварочный;19;17;9;2;6015;0.3157894736842105;0.2222222222222222;0.10526315789473684;18;;;;;;;;;;;;;;;;;;;;;;;;;;
гель сантехмастер;19;16;6;3;1288;0.2631578947368421;0.5;0.15789473684210525;17;;;;;;;;;;;;;;;;;;;;;;;;;;
краны для кулеров;19;19;5;1;1372;0.10526315789473684;0.2;0.05263157894736842;17;;;;;;;;;;;;;;;;;;;;;;;;;;
азотная кислота;19;19;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
землеройка;19;19;5;1;5040;0.15789473684210525;0.2;0.05263157894736842;10;;;;;;;;;;;;;;;;;;;;;;;;;;
ленточная пила sturm bsm3314p;19;18;1;0;-;0.05263157894736842;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
16061771;19;18;5;2;9470;0.21052631578947367;0.4;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
регулируемая опора tech-krep с резьбой м6 с муфтой, черная 4 шт. 129979;19;19;1;0;-;0.05263157894736842;0;0;71;;;;;;;;;;;;;;;;;;;;;;;;;;
f разъем;19;18;11;4;506;0.3684210526315789;0.36363636363636365;0.21052631578947367;8;;;;;;;;;;;;;;;;;;;;;;;;;;
тележка для балонов;19;19;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторная угловая шлифмашина worx кейс wx800;19;19;2;2;20692;0.10526315789473684;1;0.10526315789473684;49;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор вихрь кмп-230/24 74/3/2;19;19;1;1;9780;0.05263157894736842;1;0.05263157894736842;34;;;;;;;;;;;;;;;;;;;;;;;;;;
архимед;19;10;0;0;-;0;-;0;7;;;;;;;;;;;;;;;;;;;;;;;;;;
гайка м 24;19;17;5;0;-;0.21052631578947367;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
15906851;19;19;3;2;718;0.15789473684210525;0.6666666666666666;0.10526315789473684;8;;;;;;;;;;;;;;;;;;;;;;;;;;
костюм влагозащитный;19;19;4;3;16613;0.15789473684210525;0.5;0.10526315789473684;20;;;;;;;;;;;;;;;;;;;;;;;;;;
домкраты электрические;19;19;1;0;-;0.05263157894736842;0;0;22;;;;;;;;;;;;;;;;;;;;;;;;;;
трещотка ryobi one+ r18rw2-0 5133004833;19;19;5;2;24132;0.21052631578947367;0.4;0.10526315789473684;39;;;;;;;;;;;;;;;;;;;;;;;;;;
быстрорежущие ножи для электрорубанка makita d-16346;19;19;3;1;775;0.15789473684210525;0.3333333333333333;0.05263157894736842;52;;;;;;;;;;;;;;;;;;;;;;;;;;
перфоратор worx;19;18;4;2;79940;0.15789473684210525;0.5;0.10526315789473684;15;;;;;;;;;;;;;;;;;;;;;;;;;;
топливный насос;19;19;0;0;-;0;-;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
пакеты для колес главдор gl-14 для сезонного хранения, на 4 колеса 47705;19;19;0;2;437;0;-;0.10526315789473684;72;;;;;;;;;;;;;;;;;;;;;;;;;;
питьевая напорная труба пнд tebo r-tb 20x2.0, sdr11 (пэ100;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;
рулетка 10 м х 25 мм classic sparta 31305;19;19;3;0;-;0.15789473684210525;0;0;41;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновая газонокосилка huter glm-530sx 70/3/16;19;19;0;0;-;0;-;0;48;;;;;;;;;;;;;;;;;;;;;;;;;;
диск пильный (165х20 мм) dewalt dt 10301;19;18;0;0;-;0;-;0;40;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумулятор 18v 6.0ah (li-ion) pn: 197422-4 topon top-ptgd-mak-18-6.0;19;18;3;1;24330;0.15789473684210525;0.3333333333333333;0.05263157894736842;69;;;;;;;;;;;;;;;;;;;;;;;;;;
huter m375l;19;19;0;0;-;0;-;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;
отбойный молоток jsd двойная рукоятка моп-4;19;19;1;0;-;0.05263157894736842;0;0;43;;;;;;;;;;;;;;;;;;;;;;;;;;
влагомер древесины;19;16;7;1;2446;0.21052631578947367;0.14285714285714285;0.05263157894736842;18;;;;;;;;;;;;;;;;;;;;;;;;;;
гипоаллергенная подушка самойловский текстиль 50x70 см белая ветка 762013;19;17;5;2;16490;0.2631578947368421;0.4;0.10526315789473684;73;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор гигант;19;15;2;0;-;0.10526315789473684;0;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
blanca;19;18;2;1;172;0.10526315789473684;0.5;0.05263157894736842;6;;;;;;;;;;;;;;;;;;;;;;;;;;
набор торцевых головок, 12 предметов goodking t-3812;19;19;6;2;9716;0.3157894736842105;0.3333333333333333;0.10526315789473684;52;;;;;;;;;;;;;;;;;;;;;;;;;;
"тройник 3/4"" в/в/в mpf ис.072220";19;19;3;0;-;0.15789473684210525;0;0;32;;;;;;;;;;;;;;;;;;;;;;;;;;
магнитная указка;19;18;7;1;415;0.3684210526315789;0.14285714285714285;0.05263157894736842;16;;;;;;;;;;;;;;;;;;;;;;;;;;
молотки для сварочных работ;19;19;10;4;1107;0.3157894736842105;0.4;0.21052631578947367;27;;;;;;;;;;;;;;;;;;;;;;;;;;
гайковерт интерскол;19;19;0;0;-;0;-;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
компрессор patriot euro 24-240k 525306366;19;18;2;1;12531;0.10526315789473684;0.5;0.05263157894736842;41;;;;;;;;;;;;;;;;;;;;;;;;;;
ручные прожекторы;19;19;8;2;6686;0.2631578947368421;0.25;0.10526315789473684;17;;;;;;;;;;;;;;;;;;;;;;;;;;
экстракторы для распиновки разъемов - клемм aist 2 предмета 19993160-m 00-00025777;19;18;0;0;-;0;-;0;82;;;;;;;;;;;;;;;;;;;;;;;;;;
напильник 200 мм круглый деревянная рукоятка вихрь 73/6/4/4;19;18;8;5;1310;0.3684210526315789;0.5;0.21052631578947367;59;;;;;;;;;;;;;;;;;;;;;;;;;;
перфорированный кабель-канал dkc rl 40х60 g длина 2м 01107rl;19;19;4;1;6896;0.21052631578947367;0.25;0.05263157894736842;60;;;;;;;;;;;;;;;;;;;;;;;;;;
20957199;19;18;16;4;14690;0.5263157894736842;0.1875;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
виола;19;17;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
remez;19;14;0;0;-;0;-;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;
воздуходувка макита;19;19;1;0;-;0.05263157894736842;0;0;19;;;;;;;;;;;;;;;;;;;;;;;;;;
набор отвёрток-насадок диэлектрических с рукояткой-держателем wera, vde, 18 предметов, we-003471;19;19;5;3;169368;0.2631578947368421;0.6;0.15789473684210525;96;;;;;;;;;;;;;;;;;;;;;;;;;;
ключ для кислородного датчика vertul, 22 мм., vr50625a;19;19;7;6;3858;0.3157894736842105;0.7142857142857143;0.2631578947368421;54;;;;;;;;;;;;;;;;;;;;;;;;;;
корпус эра щрн-24 ip31simple, 330х300х120, металлический б0041675;19;19;4;2;2775;0.21052631578947367;0.5;0.10526315789473684;65;;;;;;;;;;;;;;;;;;;;;;;;;;
антифриз лукойл g12 red (красный);19;15;11;3;3442;0.3157894736842105;0.2727272727272727;0.15789473684210525;33;;;;;;;;;;;;;;;;;;;;;;;;;;
кабельная стойка ekf 600мм, к1151 sk600;19;17;4;1;764;0.21052631578947367;0.25;0.05263157894736842;39;;;;;;;;;;;;;;;;;;;;;;;;;;
свет для спальни;19;19;0;0;-;0;-;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
припой пос;19;19;3;1;150;0.15789473684210525;0.3333333333333333;0.05263157894736842;10;;;;;;;;;;;;;;;;;;;;;;;;;;
пневмонейлер;19;19;0;0;-;0;-;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;
"быстросъемное соединение (мама) - внутренняя резьба 1/2"" pegas pneumatic 3202";19;19;8;8;32275;0.42105263157894735;1;0.42105263157894735;77;;;;;;;;;;;;;;;;;;;;;;;;;;
крепеж-клипса для трубы tdm пнд 25 мм sq0405-0113;19;19;4;1;58;0.21052631578947367;0.25;0.05263157894736842;49;;;;;;;;;;;;;;;;;;;;;;;;;;
соединительная шина ekf типа pin для 3-п нагр. 63а 54 мод.proxima pin-03-63;19;19;5;1;1168;0.2631578947368421;0.2;0.05263157894736842;75;;;;;;;;;;;;;;;;;;;;;;;;;;
перчатки тактические;19;17;1;0;-;0.05263157894736842;0;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
щелочные батарейки duracell, ааa/lr03 4шт б0026813;19;18;3;2;2904;0.10526315789473684;0.3333333333333333;0.05263157894736842;50;;;;;;;;;;;;;;;;;;;;;;;;;;
универсальный пенный очиститель grass multipurpose foam cleaner 750 мл 112117;19;19;5;2;787;0.2631578947368421;0.4;0.10526315789473684;77;;;;;;;;;;;;;;;;;;;;;;;;;;
двусторонняя лента;19;18;3;0;-;0.10526315789473684;0;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
отбойники-амортизаторы для мебели;19;18;5;3;489;0.21052631578947367;0.6;0.15789473684210525;33;;;;;;;;;;;;;;;;;;;;;;;;;;
большая щетка-сметка мультипласт групп mpg020493/961185;19;11;7;3;2401;0.3157894736842105;0.42857142857142855;0.15789473684210525;55;;;;;;;;;;;;;;;;;;;;;;;;;;
автоматика для откатных ворот;19;19;1;0;-;0.05263157894736842;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт 18;19;18;2;0;-;0.10526315789473684;0;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;
полотна для ножовки по металлу;19;18;7;1;2628;0.3157894736842105;0.14285714285714285;0.05263157894736842;30;;;;;;;;;;;;;;;;;;;;;;;;;;
24363609;19;17;10;5;11780;0.42105263157894735;0.5;0.2631578947368421;8;;;;;;;;;;;;;;;;;;;;;;;;;;
кабель сетевой;19;19;0;0;-;0;-;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
круг полировочный;19;19;5;0;-;0.10526315789473684;0;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;
подсветка для зеркала;19;19;0;0;-;0;-;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
крепеж-клипса ekf d20 мм, серая, 100 шт. derj-z-20n;19;19;5;4;3000;0.2631578947368421;0.8;0.21052631578947367;51;;;;;;;;;;;;;;;;;;;;;;;;;;
аккумуляторный пистолет для герметика aeg bkp18c2-310-0 4935478634;19;17;2;0;-;0.10526315789473684;0;0;66;;;;;;;;;;;;;;;;;;;;;;;;;;
умывальник с электроводонагревателем акватекс 52142;19;19;5;2;9670;0.2631578947368421;0.4;0.10526315789473684;51;;;;;;;;;;;;;;;;;;;;;;;;;;
хаммерайт;19;18;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
известь пушонка;19;17;2;0;-;0.10526315789473684;0;0;15;;;;;;;;;;;;;;;;;;;;;;;;;;
набор диэлектрических отверток зубр профессионал 1000 в,sl 3, 5, 6 / ph 1, 2 / pz 1, 2, тестер 100-250 в, в кейсе, 8 предметов 25268;19;18;6;6;28791;0.3157894736842105;1;0.3157894736842105;132;;;;;;;;;;;;;;;;;;;;;;;;;;
кузовная оцинкованная шайба tech-krep din9021 m8 15шт - пакет 103038;19;18;9;6;2742;0.47368421052631576;0.6666666666666666;0.3157894736842105;68;;;;;;;;;;;;;;;;;;;;;;;;;;
клапан обратный для компрессора;19;17;4;1;2504;0.15789473684210525;0.25;0.05263157894736842;31;;;;;;;;;;;;;;;;;;;;;;;;;;
kale kilit;19;19;4;0;-;0.10526315789473684;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;
нейлоновые стяжки fortisflex ксс 5х400 черный 100 штук 49790;19;19;8;6;6706;0.42105263157894735;0.75;0.3157894736842105;60;;;;;;;;;;;;;;;;;;;;;;;;;;
прямоугольный строительный таз езпи 60 л 13779;19;19;9;3;2149;0.3684210526315789;0.3333333333333333;0.15789473684210525;46;;;;;;;;;;;;;;;;;;;;;;;;;;
канализационная заглушка атлас пласт dn 110 spcc00000110;19;19;9;6;411;0.47368421052631576;0.6666666666666666;0.3157894736842105;56;;;;;;;;;;;;;;;;;;;;;;;;;;
известь гашенная;19;18;0;0;-;0;-;0;16;;;;;;;;;;;;;;;;;;;;;;;;;;
диск зачистной по металлу;19;19;6;1;2844;0.21052631578947367;0.16666666666666666;0.05263157894736842;25;;;;;;;;;;;;;;;;;;;;;;;;;;
клей-активатор rossvik 250 мл, банка с кистью k.025.k.2;19;18;6;4;9179;0.3157894736842105;0.6666666666666666;0.21052631578947367;55;;;;;;;;;;;;;;;;;;;;;;;;;;
лестница телескопическая 6,5м;19;1;0;0;-;0;-;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;
набор клуппов 8 предметов gigant gphs-8;19;19;0;0;-;0;-;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;
карболитовый переходник rev вилка-е27 белый 24637 4;19;19;4;2;274;0.15789473684210525;0.5;0.10526315789473684;51;;;;;;;;;;;;;;;;;;;;;;;;;;
набор диэлектрических;19;18;2;0;-;0.10526315789473684;0;0;21;;;;;;;;;;;;;;;;;;;;;;;;;;
маска сварщика flip-flap optima 11f fubag 41101;19;19;3;1;1850;0.10526315789473684;0.3333333333333333;0.05263157894736842;47;;;;;;;;;;;;;;;;;;;;;;;;;;
табличка туалет;19;17;6;3;2142;0.2631578947368421;0.5;0.15789473684210525;15;;;;;;;;;;;;;;;;;;;;;;;;;;
kerron;19;19;12;1;3434;0.2631578947368421;0.08333333333333333;0.05263157894736842;6;;;;;;;;;;;;;;;;;;;;;;;;;;
21306124;19;18;9;6;31490;0.3684210526315789;0.5555555555555556;0.2631578947368421;8;;;;;;;;;;;;;;;;;;;;;;;;;;
рассухариватели клапанов с кейсом;19;18;1;2;7938;0.05263157894736842;2;0.10526315789473684;33;;;;;;;;;;;;;;;;;;;;;;;;;;
бензогенератор тсс sgg 10000 eha 190009;19;17;0;0;-;0;-;0;39;;;;;;;;;;;;;;;;;;;;;;;;;;
слесарный молоток sparta 300 г, фибергласовая обрезиненная рукоятка 10373;19;16;8;5;13207;0.3684210526315789;0.5;0.21052631578947367;73;;;;;;;;;;;;;;;;;;;;;;;;;;
клей-герметик для швов cemmix 600 мл серый 82577376;19;19;4;1;13720;0.21052631578947367;0.25;0.05263157894736842;51;;;;;;;;;;;;;;;;;;;;;;;;;;
провод пвс 3х2.5;19;15;4;1;23406;0.21052631578947367;0.25;0.05263157894736842;16;;;;;;;;;;;;;;;;;;;;;;;;;;
mas830l;19;17;6;2;13137;0.3157894736842105;0.3333333333333333;0.10526315789473684;7;;;;;;;;;;;;;;;;;;;;;;;;;;
лента 3м 4910f 8 мм x 1,5 м роз 4607166909527;19;19;4;2;1705;0.21052631578947367;0.5;0.10526315789473684;45;;;;;;;;;;;;;;;;;;;;;;;;;;
ножницы для цветов;19;14;8;0;-;0.15789473684210525;0;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;
заглушка 1;19;18;12;3;1238;0.5789473684210527;0.25;0.15789473684210525;10;;;;;;;;;;;;;;;;;;;;;;;;;;
шестигранная головка;19;19;0;0;-;0;-;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
коронка 60 мм;19;19;7;3;1205;0.2631578947368421;0.42857142857142855;0.15789473684210525;13;;;;;;;;;;;;;;;;;;;;;;;;;;
механический ударный степлер кобальт скобы 6-10 мм, тип 140, обрезиненная рукоятка 790-410;19;19;4;5;33013;0.15789473684210525;0.75;0.15789473684210525;90;;;;;;;;;;;;;;;;;;;;;;;;;;
разбрасыватель;19;15;2;1;5750;0.10526315789473684;0.5;0.05263157894736842;14;;;;;;;;;;;;;;;;;;;;;;;;;;
цпс-50200;19;19;0;0;-;0;-;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;
кран шаровый латунный ду 50 ру40;19;1;0;0;-;0;-;0;32;;;;;;;;;;;;;;;;;;;;;;;;;;
зажим заземления;19;19;3;2;13976;0.10526315789473684;0.6666666666666666;0.10526315789473684;16;;;;;;;;;;;;;;;;;;;;;;;;;;
шестигранный болт iek м8х30 clp1m-b-8-30;19;18;1;0;-;0.05263157894736842;0;0;40;;;;;;;;;;;;;;;;;;;;;;;;;;
бетономешалка вихрь бм-200п 74/1/17;19;19;0;0;-;0;-;0;35;;;;;;;;;;;;;;;;;;;;;;;;;;
сварочный полуавтомат start migline 190 2st190;19;19;4;0;-;0.21052631578947367;0;0;46;;;;;;;;;;;;;;;;;;;;;;;;;;
бензиновый снегоуборщик champion st661;19;17;1;1;48742;0.05263157894736842;1;0.05263157894736842;38;;;;;;;;;;;;;;;;;;;;;;;;;;
зимние рабочие комбинезоны;19;19;0;0;-;0;-;0;26;;;;;;;;;;;;;;;;;;;;;;;;;;
ручной гидравлический пресс shtok пг-300 01001;19;18;8;8;54054;0.42105263157894735;1;0.42105263157894735;46;;;;;;;;;;;;;;;;;;;;;;;;;;
сверлильная машина diam ml-200а 620065;19;19;2;1;141626;0.10526315789473684;0.5;0.05263157894736842;38;;;;;;;;;;;;;;;;;;;;;;;;;;
обезжириватель ясхим евро 10 л 220630;19;19;8;6;38501;0.3684210526315789;0.625;0.2631578947368421;37;;;;;;;;;;;;;;;;;;;;;;;;;;
перфоратор фиолент п10-1000-рэ 9400064;19;19;2;0;-;0.10526315789473684;0;0;38;;;;;;;;;;;;;;;;;;;;;;;;;;
моторное масло 5100 4t 10w40 1л motul 106906;19;19;4;1;1537;0.15789473684210525;0.25;0.05263157894736842;44;;;;;;;;;;;;;;;;;;;;;;;;;;
блокнот а5;19;18;6;1;296;0.2631578947368421;0.16666666666666666;0.05263157894736842;10;;;;;;;;;;;;;;;;;;;;;;;;;;
16004677;19;17;7;3;7682;0.2631578947368421;0.42857142857142855;0.15789473684210525;8;;;;;;;;;;;;;;;;;;;;;;;;;;
профессиональный лазерный уровень lt l16-360z 4d 16 линий + штатив 1.6 м l16-360z/1.6м;19;18;2;2;53720;0.10526315789473684;1;0.10526315789473684;86;;;;;;;;;;;;;;;;;;;;;;;;;;
швабра с веревочной насадкой лайма 601470;19;19;10;4;2211;0.47368421052631576;0.4;0.21052631578947367;41;;;;;;;;;;;;;;;;;;;;;;;;;;
диск алмазный отрезной сегментный стандарт (125х22.2 мм;;;;;;;;;55;;;;;;;;;;;;;;;;;;;;;;;;;;
makita ga5030r;19;19;2;0;-;0.10526315789473684;0;0;14;;;;;;;;;;;;;;;;;;;;;;;;;;
разметочный циркуль с дугой griff 200мм d153119;19;19;4;2;2012;0.21052631578947367;0.5;0.10526315789473684;47;;;;;;;;;;;;;;;;;;;;;;;;;;
нарукавники сварщика;19;17;0;0;-;0;-;0;20;;;;;;;;;;;;;;;;;;;;;;;;;;
