Запрос;Кол-во сессий с поиском;Кол-во пользователей поиска;Сесиий с добавлением;Кол-во заказов с поиска;GMV поиска;CR в добавление;Доля переходов корзина - заказ;CR с поиска в заказ;Кол-во символов в строке;;;;;;;;;;;;;;;;;;;;;;;;;;
газовые баллоны;1588;1530;280;96;490754;0.12846347607052896;0.32857142857142857;0.05793450881612091;15;;;;;;;;;;;;;;;;;;;;;;;;;;
маркер;1579;1519;926;277;175002;0.34325522482583914;0.2473002159827214;0.14502849905003168;6;;;;;;;;;;;;;;;;;;;;;;;;;;
мотоблок;1578;1452;141;10;374912;0.057667934093789605;0.07092198581560284;0.0063371356147021544;8;;;;;;;;;;;;;;;;;;;;;;;;;;
резиновые перчатки;1552;1508;926;338;300977;0.41494845360824745;0.3347732181425486;0.19974226804123713;18;;;;;;;;;;;;;;;;;;;;;;;;;;
алюминиевые стремянки;1530;1481;487;138;1022450;0.21895424836601307;0.2648870636550308;0.08431372549019608;21;;;;;;;;;;;;;;;;;;;;;;;;;;
радиаторы отопления;1506;1385;535;78;1496800;0.16600265604249667;0.1308411214953271;0.04648074369189907;19;;;;;;;;;;;;;;;;;;;;;;;;;;
триммер;1503;1374;271;68;838576;0.11709913506320692;0.2177121771217712;0.039254823685961414;7;;;;;;;;;;;;;;;;;;;;;;;;;;
пила;1463;1348;63;15;100093;0.02939166097060834;0.23809523809523808;0.010252904989747095;4;;;;;;;;;;;;;;;;;;;;;;;;;;
наборы трещоток с головками;1461;1411;412;99;261230;0.2005475701574264;0.22815533980582525;0.06433949349760439;27;;;;;;;;;;;;;;;;;;;;;;;;;;
маска сварщика;1402;1309;478;163;498504;0.2724679029957204;0.32426778242677823;0.11055634807417974;14;;;;;;;;;;;;;;;;;;;;;;;;;;
worx;1395;1155;348;39;451035;0.1111111111111111;0.10632183908045977;0.026523297491039426;4;;;;;;;;;;;;;;;;;;;;;;;;;;
лакокрасочные материалы;1393;1352;794;162;488251;0.29504666188083273;0.18765743073047858;0.10696338837042355;23;;;;;;;;;;;;;;;;;;;;;;;;;;
метлы;1371;1327;810;258;502053;0.38074398249452956;0.2814814814814815;0.16630196936542668;5;;;;;;;;;;;;;;;;;;;;;;;;;;
биты и наборы для шуруповертов;1370;1325;833;171;150280;0.3262773722627737;0.19327731092436976;0.11751824817518249;30;;;;;;;;;;;;;;;;;;;;;;;;;;
баки и емкости;1359;1298;163;20;189504;0.08020603384841796;0.11042944785276074;0.013245033112582781;14;;;;;;;;;;;;;;;;;;;;;;;;;;
муфты для пластиковых труб;1333;1254;1114;222;241566;0.3548387096774194;0.18581687612208259;0.15528882220555137;26;;;;;;;;;;;;;;;;;;;;;;;;;;
стрейч плёнка;1322;1268;651;309;1057850;0.3895612708018154;0.4377880184331797;0.21558245083207261;13;;;;;;;;;;;;;;;;;;;;;;;;;;
